,Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT,possibly_reached?
47,10.24.17.70,86.104.125.69,86.104.125.69,"(-1, [], 13)",[0.9626666666666667],False,x,x,False
48,85.120.244.46,86.104.125.69,86.104.125.69,"(0, ['85.120.244.1'], 9)",[1.1593333333333333],False,x,x,False
49,10.134.151.150,86.104.125.69,86.104.125.69,"(-1, [], 9)",[1.1616666666666666],False,x,x,False
50,185.214.104.93,86.104.125.69,86.104.125.69,"(1, ['89.37.126.137'], 8)",[2.75],False,x,x,True
51,44.128.12.240,86.104.125.69,86.104.125.69,"(0, ['44.128.12.254'], 9)",[0.9823333333333334],False,x,x,False
52,192.168.130.50,86.104.125.69,86.104.125.69,"(-1, [], 9)",[1.396],False,x,x,False
53,192.168.0.171,86.104.125.69,86.104.125.69,"(6, ['136.255.248.202'], 13)",[19.150000000000002],False,x,x,True
54,185.173.16.70,86.104.125.69,86.104.125.69,"(1, ['185.173.16.165'], 8)",[2430.811],False,x,x,True
55,172.31.36.10,86.104.125.69,86.104.125.69,"(1, ['85.122.180.10'], 8)",[1.7810000000000001],False,x,x,True
56,192.168.1.246,86.104.125.69,86.104.125.69,"(-1, [], 10)",[1.1563333333333332],False,x,x,False
57,192.168.1.146,86.104.125.69,86.104.125.69,"(1, ['109.102.24.129'], 13)",[2.868],False,x,x,False
58,100.99.99.252,86.104.125.69,86.104.125.69,"(2, ['92.80.245.109'], 11)",[2.511333333333333],False,x,x,True
59,192.168.0.33,86.104.125.69,86.104.125.69,"(1, ['194.40.210.1'], 8)",[0.6763333333333333],False,x,x,False
60,192.168.192.38,86.104.125.69,86.104.125.69,"(1, ['89.42.203.129'], 8)",[0.8233333333333334],False,x,x,False
61,192.168.0.184,86.104.125.69,86.104.125.69,"(-1, [], 9)",[0.997],False,x,x,False
62,194.9.92.4,86.104.125.69,86.104.125.69,"(0, ['194.9.92.1'], 7)",[1.048],False,x,x,False
63,10.10.10.54,86.104.125.69,86.104.125.69,"(1, ['89.34.110.1'], 8)",[3.2379999999999995],False,x,x,False
64,185.173.16.151,86.104.125.69,86.104.125.69,"(0, ['185.173.16.130'], 7)",[0.5676666666666667],False,x,x,False
65,86.107.73.26,86.104.125.69,86.104.125.69,"(3, ['89.238.255.9'], 11)",[0.6363333333333333],False,x,x,True
66,93.113.126.132,86.104.125.69,86.104.125.69,"(3, ['89.238.218.213'], 11)",[0.7023333333333334],False,x,x,True
67,91.220.63.87,86.104.125.69,86.104.125.69,"(1, ['89.238.233.57'], 10)",[0.686],False,x,x,True
68,185.86.67.69,86.104.125.69,86.104.125.69,"(0, ['185.86.67.65'], 7)",[0.6349999999999999],False,x,x,False
69,192.168.3.102,86.104.125.69,86.104.125.69,"(-1, [], 10)",[],False,x,x,False
70,192.168.68.71,86.104.125.69,86.104.125.69,"(-1, [], 10)",[0.7616666666666666],False,x,x,False
71,192.168.88.11,86.104.125.69,86.104.125.69,"(-1, [], 10)",[1.2013333333333334],False,x,x,False
72,192.168.1.126,86.104.125.69,86.104.125.69,"(8, ['193.0.14.129'], 9)",[2698.671],False,x,x,True
73,192.168.0.197,86.104.125.69,86.104.125.69,"(7, ['193.0.14.129'], 8)",[31.538666666666668],False,x,x,True
