Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
185.248.199.254,86.104.125.129,86.104.125.129,"(2, ['146.70.1.62'], 4)",[0.5259999999999999],True,x,x
10.81.80.5,86.104.125.129,86.104.125.129,"(-1, [], 9)",[1.2333333333333334],False,x,x
10.10.10.53,86.104.125.129,86.104.125.129,"(2, ['78.97.196.1'], 9)",[15.21],False,x,x
86.125.46.138,86.104.125.129,86.104.125.129,"(-1, [], 9)",[1.203],False,x,x
172.31.0.101,86.104.125.129,86.104.125.129,"(-1, [], 6)",[],False,x,x
194.5.208.41,86.104.125.129,86.104.125.129,"(1, ['86.127.160.165'], 8)",[0.6573333333333333],False,x,x
188.241.118.205,86.104.125.129,86.104.125.129,"(2, ['62.133.45.209'], 5)",[0.6629999999999999],True,x,x
89.40.214.132,86.104.125.129,86.104.125.129,"(2, ['62.133.45.34'], 5)",[0.496],True,x,x
192.168.100.24,86.104.125.129,86.104.125.129,"(-1, [], 9)",[0.7386666666666667],False,x,x
10.0.11.178,86.104.125.129,86.104.125.129,"(1, ['185.150.18.1'], 9)",[0.726],False,x,x
45.134.48.142,86.104.125.129,86.104.125.129,"(3, ['109.101.126.177'], 9)",[0.7186666666666667],True,x,x
172.31.0.248,86.104.125.129,86.104.125.129,"(-1, [], 6)",[],False,x,x
185.173.16.150,86.104.125.129,86.104.125.129,"(0, ['185.173.16.130'], 7)",[0.555],False,x,x
192.168.168.107,86.104.125.129,86.104.125.129,"(1, ['46.214.145.1', '46.214.145.129'], 8)","[3.1319999999999997, 3.316]",True,x,x
192.168.100.120,86.104.125.129,86.104.125.129,"(-1, [], 10)",[0.5559999999999999],False,x,x
89.33.97.218,86.104.125.129,86.104.125.129,"(0, ['89.33.97.217'], 2)",[0.46366666666666667],True,x,x
37.128.230.22,86.104.125.129,86.104.125.129,"(2, ['37.128.239.145'], 9)",[5.586666666666667],False,x,x
10.1.0.99,86.104.125.129,86.104.125.129,"(3, ['78.96.208.1'], 10)",[11.712],False,x,x
193.168.186.235,86.104.125.129,86.104.125.129,"(0, ['193.168.186.225'], 7)",[0.4923333333333333],False,x,x
192.168.1.235,86.104.125.129,86.104.125.129,"(4, ['81.22.150.2'], 10)",[2.9945000000000004],True,x,x
172.20.99.250,86.104.125.129,86.104.125.129,"(4, ['37.128.239.145'], 11)",[9.225],False,x,x
192.168.1.100,86.104.125.129,86.104.125.129,"(7, ['37.128.239.142'], 8)",[10.36],False,x,x
10.138.30.40,86.104.125.129,86.104.125.129,"(-1, [], 9)",[0.48699999999999993],False,x,x
172.16.0.100,86.104.125.129,86.104.125.129,"(3, ['195.28.185.189'], 7)",[1.3686666666666667],True,x,x
192.168.1.57,86.104.125.129,86.104.125.129,"(-1, [], 9)",[0.429],False,x,x
192.168.100.67,86.104.125.129,86.104.125.129,"(-1, [], 9)",[5.052333333333333],False,x,x
10.1.5.212,86.104.125.129,86.104.125.129,"(13, ['193.0.14.129'], 14)",[43.60333333333333],False,x,x
192.168.0.115,86.104.125.129,86.104.125.129,"(1, ['89.44.208.118'], 8)",[13.3805],False,x,x
192.168.100.217,86.104.125.129,86.104.125.129,"(2, ['80.86.97.149'], 4)",[1.7213333333333332],True,x,x
192.168.2.104,86.104.125.129,86.104.125.129,"(-1, [], 11)",[4.190333333333333],False,x,x
10.2.2.20,86.104.125.129,86.104.125.129,"(-1, [], 9)",[0.4136666666666667],False,x,x
192.168.69.254,86.104.125.129,86.104.125.129,"(-1, [], 9)",[0.49866666666666665],False,x,x
10.222.192.125,86.104.125.129,86.104.125.129,"(-1, [], 10)",[0.49499999999999994],False,x,x
192.168.0.4,86.104.125.129,86.104.125.129,"(-1, [], 9)",[0.48],False,x,x
194.42.102.9,86.104.125.129,86.104.125.129,"(0, ['194.42.102.1'], 2)",[0.64],True,x,x
192.168.0.55,86.104.125.129,86.104.125.129,"(-1, [], 9)",[0.4336666666666667],False,x,x
192.168.24.187,86.104.125.129,86.104.125.129,"(-1, [], 10)",[1.048],False,x,x
10.1.0.34,86.104.125.129,86.104.125.129,"(7, ['193.0.14.129'], 8)",[31.405],False,x,x
