,Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT,possibly_reached?
0,185.248.199.254,86.104.125.129,86.104.125.129,"(2, ['146.70.1.62'], 4)",[0.5259999999999999],True,x,x,True
1,10.81.80.5,86.104.125.129,86.104.125.129,"(-1, [], 9)",[1.2333333333333334],False,x,x,False
2,10.10.10.53,86.104.125.129,86.104.125.129,"(2, ['78.97.196.1'], 9)",[15.21],False,x,x,False
3,86.125.46.138,86.104.125.129,86.104.125.129,"(-1, [], 9)",[1.203],False,x,x,False
4,172.31.0.101,86.104.125.129,86.104.125.129,"(-1, [], 6)",[],False,x,x,False
5,194.5.208.41,86.104.125.129,86.104.125.129,"(1, ['86.127.160.165'], 8)",[0.6573333333333333],False,x,x,True
6,188.241.118.205,86.104.125.129,86.104.125.129,"(2, ['62.133.45.209'], 5)",[0.6629999999999999],True,x,x,True
7,89.40.214.132,86.104.125.129,86.104.125.129,"(2, ['62.133.45.34'], 5)",[0.496],True,x,x,True
8,192.168.100.24,86.104.125.129,86.104.125.129,"(-1, [], 9)",[0.7386666666666667],False,x,x,False
9,10.0.11.178,86.104.125.129,86.104.125.129,"(1, ['185.150.18.1'], 9)",[0.726],False,x,x,False
10,45.134.48.142,86.104.125.129,86.104.125.129,"(3, ['109.101.126.177'], 9)",[0.7186666666666667],True,x,x,True
11,172.31.0.248,86.104.125.129,86.104.125.129,"(-1, [], 6)",[],False,x,x,False
12,185.173.16.150,86.104.125.129,86.104.125.129,"(0, ['185.173.16.130'], 7)",[0.555],False,x,x,False
13,192.168.168.107,86.104.125.129,86.104.125.129,"(1, ['46.214.145.1', '46.214.145.129'], 8)","[3.1319999999999997, 3.316]",True,x,x,True
14,192.168.100.120,86.104.125.129,86.104.125.129,"(-1, [], 10)",[0.5559999999999999],False,x,x,False
15,89.33.97.218,86.104.125.129,86.104.125.129,"(0, ['89.33.97.217'], 2)",[0.46366666666666667],True,x,x,True
16,37.128.230.22,86.104.125.129,86.104.125.129,"(2, ['37.128.239.145'], 9)",[5.586666666666667],False,x,x,True
17,10.1.0.99,86.104.125.129,86.104.125.129,"(3, ['78.96.208.1'], 10)",[11.712],False,x,x,True
18,193.168.186.235,86.104.125.129,86.104.125.129,"(0, ['193.168.186.225'], 7)",[0.4923333333333333],False,x,x,False
19,192.168.1.235,86.104.125.129,86.104.125.129,"(4, ['81.22.150.2'], 10)",[2.9945000000000004],True,x,x,True
20,172.20.99.250,86.104.125.129,86.104.125.129,"(4, ['37.128.239.145'], 11)",[9.225],False,x,x,True
21,192.168.1.100,86.104.125.129,86.104.125.129,"(7, ['37.128.239.142'], 8)",[10.36],False,x,x,True
22,10.138.30.40,86.104.125.129,86.104.125.129,"(-1, [], 9)",[0.48699999999999993],False,x,x,False
23,172.16.0.100,86.104.125.129,86.104.125.129,"(3, ['195.28.185.189'], 7)",[1.3686666666666667],True,x,x,True
24,192.168.1.57,86.104.125.129,86.104.125.129,"(-1, [], 9)",[0.429],False,x,x,False
25,192.168.100.67,86.104.125.129,86.104.125.129,"(-1, [], 9)",[5.052333333333333],False,x,x,False
26,10.1.5.212,86.104.125.129,86.104.125.129,"(13, ['193.0.14.129'], 14)",[43.60333333333333],False,x,x,True
