ASN,prefix,size
8075,4.160.0.0,12
8075,4.176.0.0,12
8075,4.192.0.0,12
8075,4.208.0.0,12
8075,4.224.0.0,12
8075,4.240.0.0,12
8075,5.23.34.0,24
8075,13.64.0.0,11
8075,13.104.0.0,14
8075,13.107.14.0,24
8075,20.0.0.0,11
8075,20.33.0.0,16
8075,20.36.0.0,14
8075,20.37.64.0,19
8075,20.40.0.0,13
8075,20.45.64.0,20
8075,20.45.80.0,24
8075,20.45.128.0,20
8075,20.46.32.0,19
8075,20.46.32.0,24
8075,20.46.144.0,20
8075,20.46.192.0,19
8075,20.48.0.0,12
8075,20.64.0.0,10
8075,20.74.128.0,17
8075,20.135.0.0,16
8075,20.136.0.0,17
8075,20.143.0.0,16
8075,20.150.0.0,15
8075,20.152.0.0,16
8075,20.153.0.0,16
8075,20.157.0.0,16
8075,20.160.0.0,12
8075,20.184.0.0,13
8075,20.192.0.0,10
8075,20.196.0.0,18
8075,20.203.0.0,17
8075,23.96.0.0,14
8075,23.100.0.0,15
8075,23.102.0.0,16
8075,23.103.64.0,18
8075,23.103.128.0,17
8075,23.103.160.0,20
8075,23.148.120.0,24
8075,40.64.0.0,15
8075,40.66.0.0,17
8075,40.66.166.0,24
8075,40.67.0.0,16
8075,40.68.0.0,14
8075,40.74.0.0,15
8075,40.76.0.0,14
8075,40.80.0.0,12
8075,40.95.86.0,23
8075,40.95.238.0,23
8075,40.96.0.0,13
8075,40.104.0.0,14
8075,40.104.0.0,15
8075,40.107.18.0,23
8075,40.107.142.0,23
8075,40.108.128.0,17
8075,40.110.0.0,15
8075,40.112.0.0,13
8075,40.119.160.0,19
8075,40.120.0.0,14
8075,40.120.0.0,20
8075,40.123.192.0,19
8075,40.123.224.0,20
8075,40.124.0.0,16
8075,40.125.0.0,17
8075,40.126.0.0,18
8075,40.126.128.0,17
8075,40.126.192.0,23
8075,40.127.0.0,16
8075,40.127.0.0,19
8075,40.162.0.0,16
8075,40.169.0.0,16
8075,40.170.0.0,16
8075,40.171.0.0,16
8075,41.223.11.0,24
8075,45.8.43.0,24
8075,45.66.80.0,24
8075,45.82.119.0,24
8075,45.143.224.0,24
8075,45.143.225.0,24
8075,46.29.242.0,24
8075,51.10.0.0,15
8075,51.12.0.0,15
8075,51.51.0.0,16
8075,51.53.0.0,16
8075,51.103.0.0,16
8075,51.104.0.0,15
8075,51.107.0.0,16
8075,51.116.0.0,16
8075,51.120.0.0,16
8075,51.124.0.0,16
8075,51.132.0.0,16
8075,51.136.0.0,15
8075,51.138.0.0,16
8075,51.140.0.0,14
8075,51.144.0.0,15
8075,52.96.0.0,12
8075,52.96.0.0,14
8075,52.96.38.0,24
8075,52.98.16.0,22
8075,52.105.196.0,23
8075,52.112.0.0,14
8075,52.120.0.0,14
8075,52.125.0.0,16
8075,52.136.0.0,13
8075,52.146.0.0,15
8075,52.148.0.0,14
8075,52.152.0.0,13
8075,52.160.0.0,11
8075,52.224.0.0,11
8075,52.239.232.0,24
8075,57.150.0.0,15
8075,57.152.0.0,14
8075,57.156.0.0,14
8075,57.160.0.0,12
8075,62.12.56.0,24
8075,62.12.57.0,24
8075,62.12.58.0,24
8075,62.12.59.0,24
8075,62.12.60.0,24
8075,62.12.61.0,24
8075,62.97.228.0,24
8075,62.132.26.0,23
8075,63.116.158.0,24
8075,64.4.0.0,18
8075,64.13.130.0,24
8075,64.15.23.0,24
8075,64.15.25.0,24
8075,64.72.206.0,24
8075,65.52.0.0,14
8075,66.119.144.0,20
8075,66.178.148.0,24
8075,66.178.149.0,24
8075,67.210.128.0,24
8075,67.210.129.0,24
8075,68.154.0.0,15
8075,68.210.0.0,15
8075,68.218.0.0,15
8075,68.220.0.0,15
8075,69.52.192.0,24
8075,69.52.193.0,24
8075,69.52.198.0,24
8075,69.52.199.0,24
8075,69.59.17.0,24
8075,69.84.180.0,24
8075,69.84.181.0,24
8075,70.37.0.0,17
8075,70.37.128.0,18
8075,70.152.0.0,15
8075,70.156.0.0,15
8075,72.18.78.0,24
8075,72.144.0.0,14
8075,72.152.0.0,14
8075,74.80.229.0,24
8075,74.160.0.0,14
8075,74.176.0.0,14
8075,74.200.130.0,24
8075,74.224.0.0,14
8075,74.234.0.0,15
8075,74.240.0.0,14
8075,74.248.0.0,15
8075,91.203.230.0,24
8075,91.216.184.0,24
8075,91.242.222.0,24
8075,92.118.22.0,24
8075,92.118.23.0,24
8075,94.143.105.0,24
8075,94.143.106.0,24
8075,94.143.107.0,24
8075,94.143.108.0,24
8075,94.245.64.0,18
8075,95.128.193.0,24
8075,98.64.0.0,14
8075,98.70.0.0,15
8075,102.37.0.0,16
8075,102.37.0.0,17
8075,102.37.128.0,17
8075,102.133.0.0,16
8075,102.133.0.0,17
8075,102.133.128.0,17
8075,102.211.187.0,24
8075,103.8.80.0,24
8075,103.58.119.0,24
8075,103.131.148.0,24
8075,103.131.149.0,24
8075,103.155.245.0,24
8075,103.164.237.0,24
8075,103.249.62.0,24
8075,103.249.63.0,24
8075,104.40.0.0,13
8075,104.47.19.0,24
8075,104.146.128.0,17
8075,104.208.0.0,13
8075,108.140.0.0,14
8075,111.221.16.0,21
8075,111.221.24.0,22
8075,111.221.29.0,24
8075,111.221.30.0,23
8075,111.221.64.0,18
8075,113.197.64.0,24
8075,113.197.65.0,24
8075,113.197.66.0,24
8075,113.197.67.0,24
8075,128.94.0.0,16
8075,129.35.19.0,24
8075,130.115.248.0,22
8075,130.115.252.0,22
8075,131.253.1.0,24
8075,131.253.5.0,24
8075,131.253.6.0,24
8075,131.253.8.0,24
8075,131.253.12.0,22
8075,131.253.24.0,21
8075,131.253.32.0,20
8075,131.253.61.0,24
8075,131.253.62.0,23
8075,131.253.128.0,17
8075,132.164.0.0,16
8075,132.245.0.0,16
8075,134.170.0.0,16
8075,135.56.0.0,24
8075,135.130.0.0,16
8075,135.149.0.0,16
8075,137.70.152.0,24
8075,137.70.154.0,24
8075,137.116.0.0,16
8075,137.117.0.0,16
8075,137.135.0.0,16
8075,138.32.108.0,24
8075,138.91.0.0,16
8075,138.105.0.0,16
8075,138.128.250.0,24
8075,138.128.251.0,24
8075,138.239.0.0,16
8075,142.0.188.0,24
8075,142.0.189.0,24
8075,142.147.54.0,24
8075,142.147.61.0,24
8075,145.46.160.0,24
8075,145.46.161.0,24
8075,147.140.72.0,24
8075,147.140.73.0,24
8075,147.145.0.0,16
8075,147.243.0.0,16
8075,148.7.0.0,16
8075,150.171.0.0,16
8075,150.171.0.0,24
