Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
185.248.199.254,185.1.103.97,185.1.103.97,"(4, ['185.1.103.97'], 5)",[25.74],True,x,x
10.81.80.5,185.1.103.97,185.1.103.97,"(-1, [], 9)",[1.2643333333333333],False,x,x
10.10.10.53,185.1.103.97,185.1.103.97,"(9, ['136.255.248.202'], 16)",[16.378],False,x,x
86.125.46.138,185.1.103.97,185.1.103.97,"(-1, [], 9)",[1.1553333333333333],False,x,x
172.31.0.101,185.1.103.97,185.1.103.97,"(-1, [], 6)",[],False,x,x
194.5.208.41,185.1.103.97,185.1.103.97,"(3, ['86.120.70.185'], 10)",[26.288],False,x,x
188.241.118.205,185.1.103.97,185.1.103.97,"(4, ['193.27.65.10'], 11)",[1.1079999999999999],False,x,x
89.40.214.132,185.1.103.97,185.1.103.97,"(0, ['86.105.155.193'], 8)",[2.7729999999999997],False,x,x
192.168.100.24,185.1.103.97,185.1.103.97,"(5, ['172.69.148.3'], 12)",[36.179],False,x,x
93.114.194.226,185.1.103.97,185.1.103.97,"(2, ['193.251.252.199'], 3)",[0.7795000000000001],False,x,x
172.27.0.2,185.1.103.97,185.1.103.97,"(-1, [], 11)",[0.09333333333333334],False,x,x
10.0.11.178,185.1.103.97,185.1.103.97,"(1, ['185.150.18.1'], 9)",[0.5760000000000001],False,x,x
45.134.48.142,185.1.103.97,185.1.103.97,"(7, ['185.1.103.97'], 8)",[30.432499999999997],True,x,x
172.31.0.248,185.1.103.97,185.1.103.97,"(-1, [], 6)",[],False,x,x
185.173.16.150,185.1.103.97,185.1.103.97,"(0, ['185.173.16.130'], 7)",[0.551],False,x,x
192.168.168.107,185.1.103.97,185.1.103.97,"(1, ['46.214.145.1', '46.214.145.129'], 13)","[3.3305, 3.679]",False,x,x
192.168.100.120,185.1.103.97,185.1.103.97,"(-1, [], 10)",[0.48233333333333334],False,x,x
89.33.97.218,185.1.103.97,185.1.103.97,"(2, ['185.1.103.97'], 3)",[29.601],True,x,x
