,Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT,possibly_reached?
0,185.248.199.254,86.104.125.176,86.104.125.176,"(2, ['146.70.1.62'], 9)",[0.7433333333333333],False,x,x,True
1,10.81.80.5,86.104.125.176,86.104.125.176,"(-1, [], 9)",[2.3800000000000003],False,x,x,False
2,10.10.10.53,86.104.125.176,86.104.125.176,"(5, ['136.255.248.204'], 12)",[9.548333333333334],False,x,x,False
3,86.125.46.138,86.104.125.176,86.104.125.176,"(-1, [], 9)",[1.157],False,x,x,False
4,172.31.0.101,86.104.125.176,86.104.125.176,"(-1, [], 6)",[],False,x,x,False
5,194.5.208.41,86.104.125.176,86.104.125.176,"(1, ['86.127.160.165'], 8)",[0.5626666666666666],False,x,x,True
6,188.241.118.205,86.104.125.176,86.104.125.176,"(2, ['89.40.40.233'], 10)",[1.31],False,x,x,True
7,89.40.214.132,86.104.125.176,86.104.125.176,"(2, ['62.133.45.34'], 5)",[0.91],True,x,x,True
8,192.168.100.24,86.104.125.176,86.104.125.176,"(-1, [], 9)",[1.088],False,x,x,False
9,10.0.11.178,86.104.125.176,86.104.125.176,"(1, ['185.150.18.1'], 9)",[1.0966666666666667],False,x,x,False
10,45.134.48.142,86.104.125.176,86.104.125.176,"(3, ['109.101.126.177'], 14)",[0.7273333333333333],False,x,x,True
11,172.31.0.248,86.104.125.176,86.104.125.176,"(-1, [], 6)",[],False,x,x,False
12,185.173.16.150,86.104.125.176,86.104.125.176,"(0, ['185.173.16.130'], 7)",[0.49066666666666664],False,x,x,False
13,192.168.168.107,86.104.125.176,86.104.125.176,"(1, ['46.214.145.1', '46.214.145.129'], 13)","[3.221, 3.648]",False,x,x,False
14,192.168.100.120,86.104.125.176,86.104.125.176,"(-1, [], 10)",[0.47433333333333333],False,x,x,False
15,89.33.97.218,86.104.125.176,86.104.125.176,"(0, ['89.33.97.217'], 7)",[0.6763333333333335],False,x,x,False
16,37.128.230.22,86.104.125.176,86.104.125.176,"(2, ['37.128.239.145'], 9)",[4.558],False,x,x,True
17,10.1.0.99,86.104.125.176,86.104.125.176,"(2, ['78.96.208.1'], 9)",[13.591000000000001],False,x,x,False
18,193.168.186.235,86.104.125.176,86.104.125.176,"(0, ['193.168.186.225'], 7)",[0.39866666666666667],False,x,x,False
19,192.168.1.235,86.104.125.176,86.104.125.176,"(4, ['81.22.150.2'], 10)",[4.856],True,x,x,True
20,172.20.99.250,86.104.125.176,86.104.125.176,"(4, ['37.128.239.145'], 11)",[9.218333333333334],False,x,x,True
21,192.168.1.100,86.104.125.176,86.104.125.176,"(3, ['37.128.239.121'], 10)",[9.583333333333334],False,x,x,True
