,Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT,possibly_reached?
0,185.248.199.254,185.1.103.77,185.1.103.77,"(3, ['193.27.65.226'], 10)",[0.325],False,x,x,True
1,10.81.80.5,185.1.103.77,185.1.103.77,"(-1, [], 9)",[1.2293333333333332],False,x,x,False
2,10.10.10.53,185.1.103.77,185.1.103.77,"(8, ['136.255.248.202'], 15)",[16.747666666666667],False,x,x,True
3,86.125.46.138,185.1.103.77,185.1.103.77,"(-1, [], 9)",[1.1853333333333333],False,x,x,False
4,172.31.0.101,185.1.103.77,185.1.103.77,"(-1, [], 6)",[],False,x,x,False
5,194.5.208.41,185.1.103.77,185.1.103.77,"(1, ['86.127.160.165'], 8)",[0.5713333333333334],False,x,x,True
6,188.241.118.205,185.1.103.77,185.1.103.77,"(4, ['193.27.65.254'], 11)",[0.5293333333333333],False,x,x,True
7,89.40.214.132,185.1.103.77,185.1.103.77,"(0, ['86.105.155.193'], 8)",[2.2346666666666666],False,x,x,False
8,192.168.100.24,185.1.103.77,185.1.103.77,"(-1, [], 9)",[0.8936666666666667],False,x,x,False
9,93.114.194.226,185.1.103.77,185.1.103.77,"(2, ['193.251.252.199'], 3)",[0.7735000000000001],False,x,x,True
10,172.27.0.2,185.1.103.77,185.1.103.77,"(-1, [], 11)",[0.10200000000000002],False,x,x,False
11,10.0.11.178,185.1.103.77,185.1.103.77,"(1, ['185.150.18.1'], 9)",[0.6960000000000001],False,x,x,False
12,45.134.48.142,185.1.103.77,185.1.103.77,"(6, ['136.255.248.202'], 13)",[21.953666666666663],False,x,x,True
13,172.31.0.248,185.1.103.77,185.1.103.77,"(-1, [], 6)",[],False,x,x,False
14,185.173.16.150,185.1.103.77,185.1.103.77,"(0, ['185.173.16.130'], 7)",[0.5406666666666667],False,x,x,False
15,192.168.168.107,185.1.103.77,185.1.103.77,"(1, ['46.214.145.1', '46.214.145.129'], 13)","[2.7675, 2.323]",False,x,x,False
16,192.168.100.120,185.1.103.77,185.1.103.77,"(-1, [], 10)",[0.48633333333333334],False,x,x,False
17,89.33.97.218,185.1.103.77,185.1.103.77,"(1, ['89.37.120.161'], 8)",[0.8686666666666666],False,x,x,True
18,37.128.230.22,185.1.103.77,185.1.103.77,"(2, ['37.128.239.145'], 9)",[5.719666666666666],False,x,x,True
19,10.1.0.99,185.1.103.77,185.1.103.77,"(4, ['136.255.248.202'], 11)",[10.745333333333335],False,x,x,True
20,193.168.186.235,185.1.103.77,185.1.103.77,"(3, ['62.115.62.249'], 4)",[1.191],False,x,x,True
21,192.168.1.235,185.1.103.77,185.1.103.77,"(9, ['62.115.156.162'], 10)",[31.268],False,x,x,True
22,172.20.99.250,185.1.103.77,185.1.103.77,"(4, ['37.128.239.145'], 11)",[9.343666666666666],False,x,x,True
23,192.168.1.100,185.1.103.77,185.1.103.77,"(9, ['37.128.239.142'], 10)",[8.699],False,x,x,True
24,10.138.30.40,185.1.103.77,185.1.103.77,"(-1, [], 9)",[3.5226666666666673],False,x,x,False
25,172.16.0.100,185.1.103.77,185.1.103.77,"(3, ['86.104.178.173'], 10)",[1.2933333333333332],False,x,x,True
26,192.168.1.57,185.1.103.77,185.1.103.77,"(-1, [], 9)",[0.5986666666666666],False,x,x,False
27,192.168.100.67,185.1.103.77,185.1.103.77,"(-1, [], 9)",[4.729666666666667],False,x,x,False
28,10.1.5.212,185.1.103.77,185.1.103.77,"(5, ['136.255.248.202'], 12)",[9.059],False,x,x,True
29,192.168.0.115,185.1.103.77,185.1.103.77,"(2, ['136.255.248.202'], 9)",[13.045333333333332],False,x,x,True
30,192.168.100.217,185.1.103.77,185.1.103.77,"(2, ['80.86.97.149'], 9)",[1.7936666666666667],False,x,x,True
31,192.168.2.104,185.1.103.77,185.1.103.77,"(-1, [], 11)",[3.8626666666666662],False,x,x,False
32,10.2.2.20,185.1.103.77,185.1.103.77,"(-1, [], 9)",[0.4283333333333334],False,x,x,False
33,192.168.69.254,185.1.103.77,185.1.103.77,"(-1, [], 9)",[0.7633333333333333],False,x,x,False
34,10.222.192.125,185.1.103.77,185.1.103.77,"(-1, [], 10)",[0.458],False,x,x,False
35,192.168.0.4,185.1.103.77,185.1.103.77,"(-1, [], 9)",[0.519],False,x,x,False
36,194.42.102.9,185.1.103.77,185.1.103.77,"(1, ['62.115.62.249'], 2)",[1.013],False,x,x,True
37,192.168.0.55,185.1.103.77,185.1.103.77,"(-1, [], 9)",[0.4196666666666667],False,x,x,False
38,192.168.24.187,185.1.103.77,185.1.103.77,"(8, ['193.0.14.129'], 9)",[26.070333333333334],False,x,x,True
39,10.1.0.34,185.1.103.77,185.1.103.77,"(-1, [], 9)",[0.4223333333333333],False,x,x,False
40,192.168.1.12,185.1.103.77,185.1.103.77,"(-1, [], 8)",[0.758],False,x,x,False
41,192.168.1.158,185.1.103.77,185.1.103.77,"(8, ['193.0.14.129'], 9)",[27.951333333333334],False,x,x,True
42,176.52.185.126,185.1.103.77,185.1.103.77,"(5, ['136.255.248.202'], 12)",[11.501],False,x,x,True
43,192.168.253.191,185.1.103.77,185.1.103.77,"(2, ['89.40.196.49'], 9)",[1.3823333333333334],False,x,x,True
44,192.168.100.5,185.1.103.77,185.1.103.77,"(5, ['37.128.239.145'], 12)",[2.8653333333333335],False,x,x,True
45,192.168.0.192,185.1.103.77,185.1.103.77,"(4, ['136.255.248.202'], 11)",[11.999],False,x,x,True
46,10.10.0.9,185.1.103.77,185.1.103.77,"(-1, [], 15)",[1.2423333333333335],False,x,x,False
47,10.24.17.70,185.1.103.77,185.1.103.77,"(-1, [], 9)",[0.898],False,x,x,False
48,85.120.244.46,185.1.103.77,185.1.103.77,"(0, ['85.120.244.1'], 9)",[1.106],False,x,x,False
49,10.134.151.150,185.1.103.77,185.1.103.77,"(-1, [], 9)",[1.4656666666666667],False,x,x,False
50,185.214.104.93,185.1.103.77,185.1.103.77,"(1, ['89.37.126.137'], 8)",[1.2739999999999998],False,x,x,True
51,44.128.12.240,185.1.103.77,185.1.103.77,"(0, ['44.128.12.254'], 9)",[0.976],False,x,x,False
52,192.168.130.50,185.1.103.77,185.1.103.77,"(-1, [], 9)",[1.1583333333333334],False,x,x,False
53,192.168.0.171,185.1.103.77,185.1.103.77,"(6, ['136.255.248.202'], 13)",[21.558666666666667],False,x,x,True
54,185.173.16.70,185.1.103.77,185.1.103.77,"(0, ['185.173.16.65'], 7)",[1.57],False,x,x,False
55,172.31.36.10,185.1.103.77,185.1.103.77,"(5, ['136.255.248.202'], 12)",[10.853333333333333],False,x,x,True
56,192.168.1.246,185.1.103.77,185.1.103.77,"(-1, [], 10)",[1.1500000000000001],False,x,x,False
57,192.168.1.146,185.1.103.77,185.1.103.77,"(1, ['109.102.24.129'], 12)",[2.752333333333333],False,x,x,False
58,100.99.99.252,185.1.103.77,185.1.103.77,"(2, ['92.80.245.109'], 13)",[2.2846666666666664],False,x,x,True
59,192.168.0.33,185.1.103.77,185.1.103.77,"(5, ['91.186.184.33'], 6)",[6.8356666666666674],False,x,x,True
60,192.168.192.38,185.1.103.77,185.1.103.77,"(4, ['136.255.248.202'], 11)",[2.219666666666667],False,x,x,True
61,192.168.0.184,185.1.103.77,185.1.103.77,"(-1, [], 9)",[1.1796666666666666],False,x,x,False
62,194.9.92.4,185.1.103.77,185.1.103.77,"(1, ['62.115.62.249'], 2)",[1.559],False,x,x,True
63,10.10.10.54,185.1.103.77,185.1.103.77,"(4, ['136.255.248.202'], 11)",[4.810666666666666],False,x,x,True
64,185.173.16.151,185.1.103.77,185.1.103.77,"(0, ['185.173.16.130'], 7)",[0.7976666666666667],False,x,x,False
65,93.113.126.132,185.1.103.77,185.1.103.77,"(0, ['93.113.126.129'], 3)",[17.046333333333333],False,x,x,False
66,185.86.67.69,185.1.103.77,185.1.103.77,"(4, ['91.186.184.37'], 5)",[1.0205],False,x,x,True
67,192.168.3.102,185.1.103.77,185.1.103.77,"(-1, [], 10)",[],False,x,x,False
68,192.168.68.71,185.1.103.77,185.1.103.77,"(-1, [], 10)",[0.802],False,x,x,False
69,192.168.88.11,185.1.103.77,185.1.103.77,"(-1, [], 10)",[0.922],False,x,x,False
70,192.168.1.126,185.1.103.77,185.1.103.77,"(-1, [], 10)",[1.0970000000000002],False,x,x,False
71,192.168.0.197,185.1.103.77,185.1.103.77,"(-1, [], 9)",[0.8079999999999999],False,x,x,False
72,86.107.73.26,185.1.103.77,185.1.103.77,"(0, ['86.107.73.2'], 3)",[0.5766666666666667],False,x,x,False
