Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
185.248.199.254,185.1.103.94,185.1.103.94,"(4, ['185.1.103.94'], 5)",[47.20466666666667],True,x,x
10.81.80.5,185.1.103.94,185.1.103.94,"(-1, [], 9)",[1.2773333333333332],False,x,x
10.10.10.53,185.1.103.94,185.1.103.94,"(10, ['185.1.103.94'], 11)",[43.095],True,x,x
86.125.46.138,185.1.103.94,185.1.103.94,"(-1, [], 9)",[1.2083333333333333],False,x,x
172.31.0.101,185.1.103.94,185.1.103.94,"(-1, [], 6)",[],False,x,x
194.5.208.41,185.1.103.94,185.1.103.94,"(1, ['86.127.160.165'], 8)",[0.5016666666666666],False,x,x
188.241.118.205,185.1.103.94,185.1.103.94,"(5, ['185.1.103.94'], 6)",[26.106666666666666],True,x,x
89.40.214.132,185.1.103.94,185.1.103.94,"(2, ['185.1.103.94'], 3)",[25.88166666666667],True,x,x
192.168.100.24,185.1.103.94,185.1.103.94,"(6, ['202.12.27.33'], 7)",[51.557500000000005],False,x,x
10.0.11.178,185.1.103.94,185.1.103.94,"(1, ['185.150.18.1'], 9)",[0.5053333333333333],False,x,x
45.134.48.142,185.1.103.94,185.1.103.94,"(7, ['185.1.103.94'], 8)",[50.49066666666666],True,x,x
172.31.0.248,185.1.103.94,185.1.103.94,"(-1, [], 6)",[],False,x,x
185.173.16.150,185.1.103.94,185.1.103.94,"(0, ['185.173.16.130'], 7)",[0.5573333333333333],False,x,x
192.168.168.107,185.1.103.94,185.1.103.94,"(1, ['46.214.145.1', '46.214.145.129'], 13)","[2.2085, 2.686]",False,x,x
192.168.100.120,185.1.103.94,185.1.103.94,"(-1, [], 10)",[0.6473333333333333],False,x,x
89.33.97.218,185.1.103.94,185.1.103.94,"(2, ['185.1.103.94'], 3)",[27.704666666666668],True,x,x
37.128.230.22,185.1.103.94,185.1.103.94,"(2, ['37.128.239.145'], 9)",[4.253333333333333],False,x,x
10.1.0.99,185.1.103.94,185.1.103.94,"(7, ['185.1.103.94'], 8)",[59.40233333333333],True,x,x
193.168.186.235,185.1.103.94,185.1.103.94,"(3, ['62.115.62.249'], 4)",[1.2690000000000001],False,x,x
192.168.1.235,185.1.103.94,185.1.103.94,"(4, ['81.22.150.2'], 15)",[3.037],False,x,x
192.168.1.100,185.1.103.94,185.1.103.94,"(3, ['37.128.239.121'], 10)",[9.991666666666667],False,x,x
10.138.30.40,185.1.103.94,185.1.103.94,"(-1, [], 9)",[0.5106666666666667],False,x,x
172.16.0.100,185.1.103.94,185.1.103.94,"(4, ['185.1.103.94'], 5)",[27.4635],True,x,x
192.168.1.57,185.1.103.94,185.1.103.94,"(-1, [], 9)",[0.4966666666666666],False,x,x
192.168.100.67,185.1.103.94,185.1.103.94,"(-1, [], 9)",[4.213],False,x,x
10.1.5.212,185.1.103.94,185.1.103.94,"(7, ['185.1.103.94'], 8)",[37.11000000000001],True,x,x
192.168.0.115,185.1.103.94,185.1.103.94,"(3, ['185.1.103.94'], 4)",[39.23666666666667],True,x,x
192.168.100.217,185.1.103.94,185.1.103.94,"(3, ['185.1.103.94'], 4)",[30.058333333333334],True,x,x
192.168.2.104,185.1.103.94,185.1.103.94,"(-1, [], 11)",[4.031666666666667],False,x,x
10.2.2.20,185.1.103.94,185.1.103.94,"(-1, [], 9)",[0.43566666666666665],False,x,x
192.168.69.254,185.1.103.94,185.1.103.94,"(-1, [], 9)",[0.77],False,x,x
10.222.192.125,185.1.103.94,185.1.103.94,"(-1, [], 10)",[0.44],False,x,x
192.168.0.4,185.1.103.94,185.1.103.94,"(-1, [], 9)",[0.5093333333333333],False,x,x
194.42.102.9,185.1.103.94,185.1.103.94,"(1, ['62.115.62.249'], 2)",[1.0255],False,x,x
192.168.0.55,185.1.103.94,185.1.103.94,"(7, ['185.1.103.94'], 8)",[31.05633333333333],True,x,x
192.168.24.187,185.1.103.94,185.1.103.94,"(-1, [], 10)",[0.844],False,x,x
10.1.0.34,185.1.103.94,185.1.103.94,"(-1, [], 9)",[0.46366666666666667],False,x,x
192.168.1.12,185.1.103.94,185.1.103.94,"(2, ['185.1.103.94'], 3)",[57.33866666666666],True,x,x
192.168.1.158,185.1.103.94,185.1.103.94,"(-1, [], 10)",[3.9956666666666663],False,x,x
176.52.185.126,185.1.103.94,185.1.103.94,"(6, ['185.1.103.94'], 7)",[29.180666666666667],True,x,x
192.168.253.191,185.1.103.94,185.1.103.94,"(2, ['89.40.196.49'], 9)",[1.295],False,x,x
192.168.0.192,185.1.103.94,185.1.103.94,"(6, ['185.1.103.94'], 7)",[37.74166666666667],True,x,x
10.10.0.9,185.1.103.94,185.1.103.94,"(-1, [], 15)",[1.211],False,x,x
10.24.17.70,185.1.103.94,185.1.103.94,"(-1, [], 9)",[0.8743333333333333],False,x,x
85.120.244.46,185.1.103.94,185.1.103.94,"(3, ['185.1.103.94'], 4)",[34.10766666666667],True,x,x
10.134.151.150,185.1.103.94,185.1.103.94,"(-1, [], 9)",[1.2526666666666666],False,x,x
185.214.104.93,185.1.103.94,185.1.103.94,"(2, ['185.1.103.94'], 3)",[43.34966666666667],True,x,x
44.128.12.240,185.1.103.94,185.1.103.94,"(0, ['44.128.12.254'], 9)",[2.356],False,x,x
192.168.130.50,185.1.103.94,185.1.103.94,"(-1, [], 9)",[1.654],False,x,x
192.168.0.171,185.1.103.94,185.1.103.94,"(8, ['185.1.103.94'], 9)",[99.599],True,x,x
185.173.16.70,185.1.103.94,185.1.103.94,"(0, ['185.173.16.65'], 7)",[0.7573333333333333],False,x,x
172.31.36.10,185.1.103.94,185.1.103.94,"(6, ['185.1.103.94'], 7)",[37.94133333333334],True,x,x
192.168.1.246,185.1.103.94,185.1.103.94,"(-1, [], 10)",[1.123],False,x,x
192.168.1.146,185.1.103.94,185.1.103.94,"(1, ['109.102.24.129'], 12)",[2.800333333333333],False,x,x
