,Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT,possibly_reached?
0,185.248.199.254,85.0.0.253,85.0.0.253,"(6, ['138.187.129.150'], 13)",[35.816],False,x,x,True
1,10.81.80.5,85.0.0.253,85.0.0.253,"(9, ['138.187.129.82'], 16)",[35.90033333333333],False,x,x,True
2,10.10.10.53,85.0.0.253,85.0.0.253,"(8, ['138.187.129.248'], 15)",[36.47233333333333],False,x,x,True
3,86.125.46.138,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[34.733666666666664],False,x,x,True
4,172.31.0.101,85.0.0.253,85.0.0.253,"(-1, [], 6)",[],False,x,x,False
5,194.5.208.41,85.0.0.253,85.0.0.253,"(9, ['138.187.130.23'], 16)",[30.994333333333334],False,x,x,True
6,188.241.118.205,85.0.0.253,85.0.0.253,"(7, ['138.187.129.150'], 14)",[35.771],False,x,x,True
7,89.40.214.132,85.0.0.253,85.0.0.253,"(10, ['138.187.130.39'], 17)",[39.53433333333333],False,x,x,True
8,192.168.100.24,85.0.0.253,85.0.0.253,"(9, ['138.187.129.82'], 16)",[44.020333333333326],False,x,x,True
9,93.114.194.226,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[33.79366666666667],False,x,x,True
10,172.27.0.2,85.0.0.253,85.0.0.253,"(9, ['138.187.130.23'], 16)",[38.797666666666665],False,x,x,True
11,10.0.11.178,85.0.0.253,85.0.0.253,"(9, ['138.187.129.82'], 16)",[32.88433333333334],False,x,x,True
12,45.134.48.142,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[32.11833333333333],False,x,x,True
13,172.31.0.248,85.0.0.253,85.0.0.253,"(-1, [], 6)",[],False,x,x,False
14,185.173.16.150,85.0.0.253,85.0.0.253,"(8, ['138.187.129.248'], 15)",[32.257],False,x,x,True
15,192.168.168.107,85.0.0.253,85.0.0.253,"(10, ['138.187.130.23'], 17)",[58.49066666666666],False,x,x,True
16,192.168.100.120,85.0.0.253,85.0.0.253,"(8, ['138.187.130.23'], 15)",[30.691333333333336],False,x,x,True
17,89.33.97.218,85.0.0.253,85.0.0.253,"(6, ['138.187.130.23'], 13)",[32.342333333333336],False,x,x,True
18,37.128.230.22,85.0.0.253,85.0.0.253,"(6, ['138.187.129.248'], 13)",[51.93833333333333],False,x,x,True
19,10.1.0.99,85.0.0.253,85.0.0.253,"(9, ['138.187.129.248'], 16)",[39.674],False,x,x,True
20,193.168.186.235,85.0.0.253,85.0.0.253,"(5, ['138.187.130.23'], 12)",[35.42966666666667],False,x,x,True
21,192.168.1.235,85.0.0.253,85.0.0.253,"(12, ['138.187.130.23'], 19)",[65.19166666666666],False,x,x,True
22,172.20.99.250,85.0.0.253,85.0.0.253,"(8, ['138.187.129.248'], 15)",[33.96366666666666],False,x,x,True
23,192.168.1.100,85.0.0.253,85.0.0.253,"(7, ['138.187.129.248'], 14)",[39.381],False,x,x,True
24,10.138.30.40,85.0.0.253,85.0.0.253,"(9, ['138.187.129.82'], 16)",[41.54066666666666],False,x,x,True
25,172.16.0.100,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[32.791333333333334],False,x,x,True
26,192.168.1.57,85.0.0.253,85.0.0.253,"(9, ['138.187.129.82'], 16)",[43.891],False,x,x,True
27,192.168.100.67,85.0.0.253,85.0.0.253,"(9, ['138.187.129.82'], 16)",[49.733666666666664],False,x,x,True
28,10.1.5.212,85.0.0.253,85.0.0.253,"(9, ['138.187.129.248'], 16)",[48.726],False,x,x,True
29,192.168.0.115,85.0.0.253,85.0.0.253,"(7, ['138.187.129.248'], 14)",[49.9885],False,x,x,True
30,192.168.100.217,85.0.0.253,85.0.0.253,"(10, ['138.187.130.39'], 17)",[41.70133333333333],False,x,x,True
31,192.168.2.104,85.0.0.253,85.0.0.253,"(9, ['138.187.130.23'], 16)",[45.397999999999996],False,x,x,True
32,192.168.3.102,85.0.0.253,85.0.0.253,"(8, ['138.187.130.23'], 15)",[51.72533333333333],False,x,x,True
33,10.2.2.20,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[37.35766666666667],False,x,x,True
34,192.168.69.254,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[34.87366666666667],False,x,x,True
35,10.222.192.125,85.0.0.253,85.0.0.253,"(8, ['138.187.130.23'], 15)",[32.60833333333333],False,x,x,True
36,192.168.0.4,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[40.173],False,x,x,True
37,192.168.68.71,85.0.0.253,85.0.0.253,"(8, ['138.187.130.23'], 15)",[54.55333333333334],False,x,x,True
38,194.42.102.9,85.0.0.253,85.0.0.253,"(4, ['138.187.130.23'], 11)",[41.857000000000006],False,x,x,True
39,192.168.0.55,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[40.276],False,x,x,True
40,192.168.24.187,85.0.0.253,85.0.0.253,"(8, ['138.187.130.23'], 15)",[54.31166666666667],False,x,x,True
41,10.1.0.34,85.0.0.253,85.0.0.253,"(9, ['138.187.129.82'], 16)",[45.722],False,x,x,True
42,192.168.1.12,85.0.0.253,85.0.0.253,"(9, ['138.187.130.39'], 16)",[63.87799999999999],False,x,x,True
43,192.168.1.158,85.0.0.253,85.0.0.253,"(8, ['138.187.130.23'], 15)",[54.82033333333334],False,x,x,True
44,176.52.185.126,85.0.0.253,85.0.0.253,"(9, ['138.187.129.248'], 16)",[44.31133333333333],False,x,x,True
45,192.168.253.191,85.0.0.253,85.0.0.253,"(8, ['138.187.130.23'], 15)",[47.96066666666667],False,x,x,True
46,192.168.100.5,85.0.0.253,85.0.0.253,"(9, ['138.187.129.248'], 16)",[27.960333333333335],False,x,x,True
47,192.168.0.192,85.0.0.253,85.0.0.253,"(7, ['138.187.129.248'], 14)",[37.526],False,x,x,True
48,10.10.0.9,85.0.0.253,85.0.0.253,"(13, ['138.187.130.23'], 20)",[41.76333333333333],False,x,x,True
49,10.24.17.70,85.0.0.253,85.0.0.253,"(9, ['138.187.129.82'], 16)",[35.20666666666667],False,x,x,True
50,85.120.244.46,85.0.0.253,85.0.0.253,"(10, ['138.187.130.39'], 17)",[49.68066666666667],False,x,x,True
51,10.134.151.150,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[38.57566666666666],False,x,x,True
52,185.214.104.93,85.0.0.253,85.0.0.253,"(6, ['138.187.130.23'], 13)",[35.09233333333333],False,x,x,True
53,44.128.12.240,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[31.78333333333333],False,x,x,True
54,192.168.130.50,85.0.0.253,85.0.0.253,"(7, ['138.187.130.23'], 14)",[29.976],False,x,x,True
55,192.168.0.171,85.0.0.253,85.0.0.253,"(10, ['138.187.129.248'], 17)",[46.84233333333333],False,x,x,True
56,192.168.1.126,85.0.0.253,85.0.0.253,"(10, ['138.187.129.82'], 17)",[53.693999999999996],False,x,x,True
