Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
185.248.199.254,86.104.125.80,86.104.125.80,"(2, ['146.70.1.64'], 4)",[0.22699999999999998],True,x,x
10.81.80.5,86.104.125.80,86.104.125.80,"(-1, [], 9)",[1.282],False,x,x
10.10.10.53,86.104.125.80,86.104.125.80,"(2, ['78.97.196.1'], 9)",[10.777000000000001],False,x,x
86.125.46.138,86.104.125.80,86.104.125.80,"(-1, [], 9)",[1.281],False,x,x
172.31.0.101,86.104.125.80,86.104.125.80,"(-1, [], 6)",[],False,x,x
194.5.208.41,86.104.125.80,86.104.125.80,"(1, ['86.127.160.165'], 8)",[0.8433333333333333],False,x,x
188.241.118.205,86.104.125.80,86.104.125.80,"(2, ['62.133.45.209'], 5)",[0.5196666666666667],True,x,x
89.40.214.132,86.104.125.80,86.104.125.80,"(2, ['62.133.45.34'], 5)",[0.52],True,x,x
192.168.100.24,86.104.125.80,86.104.125.80,"(-1, [], 9)",[0.8483333333333333],False,x,x
93.114.194.226,86.104.125.80,86.104.125.80,"(2, ['193.251.252.199'], 3)",[1.0385],False,x,x
172.27.0.2,86.104.125.80,86.104.125.80,"(-1, [], 11)",[0.10000000000000002],False,x,x
10.0.11.178,86.104.125.80,86.104.125.80,"(1, ['185.150.18.1'], 9)",[1.4203333333333334],False,x,x
45.134.48.142,86.104.125.80,86.104.125.80,"(3, ['109.101.126.177'], 9)",[0.9099999999999998],True,x,x
172.31.0.248,86.104.125.80,86.104.125.80,"(-1, [], 6)",[],False,x,x
185.173.16.150,86.104.125.80,86.104.125.80,"(0, ['185.173.16.130'], 7)",[0.49100000000000005],False,x,x
192.168.168.107,86.104.125.80,86.104.125.80,"(1, ['46.214.145.1', '46.214.145.129'], 8)","[3.261, 2.887]",True,x,x
192.168.100.120,86.104.125.80,86.104.125.80,"(-1, [], 10)",[0.6473333333333334],False,x,x
89.33.97.218,86.104.125.80,86.104.125.80,"(0, ['89.33.97.217'], 2)",[0.46399999999999997],True,x,x
37.128.230.22,86.104.125.80,86.104.125.80,"(2, ['37.128.239.145'], 9)",[6.637333333333333],False,x,x
10.1.0.99,86.104.125.80,86.104.125.80,"(3, ['78.96.208.1'], 10)",[11.698],False,x,x
193.168.186.235,86.104.125.80,86.104.125.80,"(0, ['193.168.186.225'], 2)",[0.42533333333333334],True,x,x
192.168.1.235,86.104.125.80,86.104.125.80,"(9, ['193.0.14.129'], 10)","[17.086, 2568.7340000000004]",True,x,x
172.20.99.250,86.104.125.80,86.104.125.80,"(4, ['37.128.239.145'], 11)",[9.452666666666667],False,x,x
192.168.1.100,86.104.125.80,86.104.125.80,"(3, ['37.128.239.121'], 10)",[10.255666666666665],False,x,x
10.138.30.40,86.104.125.80,86.104.125.80,"(-1, [], 9)",[0.47766666666666663],False,x,x
172.16.0.100,86.104.125.80,86.104.125.80,"(3, ['195.28.185.189'], 7)",[1.3866666666666667],True,x,x
192.168.1.57,86.104.125.80,86.104.125.80,"(-1, [], 9)",[0.49433333333333335],False,x,x
192.168.100.67,86.104.125.80,86.104.125.80,"(-1, [], 9)",[6.417000000000001],False,x,x
10.1.5.212,86.104.125.80,86.104.125.80,"(8, ['162.158.208.10'], 15)",[4553.991],False,x,x
192.168.0.115,86.104.125.80,86.104.125.80,"(1, ['89.44.208.118'], 8)",[14.3895],False,x,x
192.168.100.217,86.104.125.80,86.104.125.80,"(2, ['80.86.97.149'], 4)",[1.9416666666666664],True,x,x
192.168.2.104,86.104.125.80,86.104.125.80,"(-1, [], 11)",[4.335333333333334],False,x,x
10.2.2.20,86.104.125.80,86.104.125.80,"(-1, [], 9)",[0.4073333333333333],False,x,x
192.168.69.254,86.104.125.80,86.104.125.80,"(5, ['185.1.103.100'], 6)",[6.719],False,x,x
10.222.192.125,86.104.125.80,86.104.125.80,"(-1, [], 10)",[0.43933333333333335],False,x,x
192.168.0.4,86.104.125.80,86.104.125.80,"(-1, [], 9)",[0.49233333333333335],False,x,x
194.42.102.9,86.104.125.80,86.104.125.80,"(0, ['194.42.102.1'], 2)",[0.48333333333333334],True,x,x
192.168.0.55,86.104.125.80,86.104.125.80,"(-1, [], 9)",[0.46900000000000003],False,x,x
192.168.24.187,86.104.125.80,86.104.125.80,"(-1, [], 10)",[1.016],False,x,x
10.1.0.34,86.104.125.80,86.104.125.80,"(-1, [], 9)",[0.5163333333333333],False,x,x
192.168.1.12,86.104.125.80,86.104.125.80,"(-1, [], 3)",[0.7936666666666666],True,x,x
192.168.1.158,86.104.125.80,86.104.125.80,"(-1, [], 10)",[4.116333333333333],False,x,x
176.52.185.126,86.104.125.80,86.104.125.80,"(6, ['136.255.248.202'], 13)",[11.289],False,x,x
192.168.253.191,86.104.125.80,86.104.125.80,"(2, ['89.40.196.49'], 4)",[0.9673333333333334],True,x,x
192.168.100.5,86.104.125.80,86.104.125.80,"(5, ['37.128.239.145'], 12)",[2.75],False,x,x
192.168.0.192,86.104.125.80,86.104.125.80,"(2, ['78.96.208.1'], 9)",[9.839333333333334],False,x,x
10.10.0.9,86.104.125.80,86.104.125.80,"(-1, [], 15)",[1.1456666666666666],False,x,x
