Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
185.248.199.254,185.0.0.253,185.0.0.253,"(1, ['185.120.147.41'], 10)",[24.396666666666665],False,x,x
10.81.80.5,185.0.0.253,185.0.0.253,"(-1, [], 9)",[1.2376666666666667],False,x,x
10.10.10.53,185.0.0.253,185.0.0.253,"(5, ['136.255.248.204'], 12)",[10.838666666666668],False,x,x
86.125.46.138,185.0.0.253,185.0.0.253,"(-1, [], 9)",[1.2136666666666667],False,x,x
172.31.0.101,185.0.0.253,185.0.0.253,"(-1, [], 6)",[],False,x,x
194.5.208.41,185.0.0.253,185.0.0.253,"(1, ['86.127.160.165'], 8)",[0.5276666666666667],False,x,x
188.241.118.205,185.0.0.253,185.0.0.253,"(2, ['62.133.45.209'], 9)",[0.5706666666666665],False,x,x
89.40.214.132,185.0.0.253,185.0.0.253,"(0, ['86.105.155.193'], 8)",[7.061333333333334],False,x,x
192.168.100.24,185.0.0.253,185.0.0.253,"(-1, [], 9)",[0.77],False,x,x
93.114.194.226,185.0.0.253,185.0.0.253,"(2, ['193.251.252.199'], 3)",[0.995],False,x,x
172.27.0.2,185.0.0.253,185.0.0.253,"(-1, [], 14)",[0.08266666666666667],False,x,x
10.0.11.178,185.0.0.253,185.0.0.253,"(1, ['185.150.18.1'], 9)",[0.7576666666666666],False,x,x
45.134.48.142,185.0.0.253,185.0.0.253,"(3, ['109.101.126.177'], 13)",[0.8186666666666667],False,x,x
172.31.0.248,185.0.0.253,185.0.0.253,"(-1, [], 6)",[],False,x,x
185.173.16.150,185.0.0.253,185.0.0.253,"(0, ['185.173.16.130'], 7)",[0.535],False,x,x
192.168.168.107,185.0.0.253,185.0.0.253,"(1, ['46.214.145.1', '46.214.145.129'], 13)","[2.77, 2.515]",False,x,x
192.168.100.120,185.0.0.253,185.0.0.253,"(-1, [], 10)",[0.47500000000000003],False,x,x
89.33.97.218,185.0.0.253,185.0.0.253,"(0, ['89.33.97.217'], 7)",[0.7053333333333334],False,x,x
37.128.230.22,185.0.0.253,185.0.0.253,"(2, ['37.128.239.145'], 9)",[4.184666666666666],False,x,x
10.1.0.99,185.0.0.253,185.0.0.253,"(3, ['78.96.208.1'], 10)",[11.302],False,x,x
193.168.186.235,185.0.0.253,185.0.0.253,"(3, ['62.115.62.249'], 4)",[1.2610000000000001],False,x,x
192.168.1.235,185.0.0.253,185.0.0.253,"(4, ['81.22.150.2'], 15)",[3.0529999999999995],False,x,x
172.20.99.250,185.0.0.253,185.0.0.253,"(4, ['37.128.239.145'], 11)",[9.325000000000001],False,x,x
192.168.1.100,185.0.0.253,185.0.0.253,"(3, ['37.128.239.121'], 10)",[9.853],False,x,x
10.138.30.40,185.0.0.253,185.0.0.253,"(-1, [], 9)",[0.519],False,x,x
172.16.0.100,185.0.0.253,185.0.0.253,"(5, ['149.6.51.73'], 6)",[2.528],False,x,x
192.168.1.57,185.0.0.253,185.0.0.253,"(-1, [], 9)",[0.5346666666666666],False,x,x
192.168.100.67,185.0.0.253,185.0.0.253,"(-1, [], 9)",[4.139333333333334],False,x,x
10.1.5.212,185.0.0.253,185.0.0.253,"(3, ['62.121.99.1'], 10)",[8.281],False,x,x
192.168.0.115,185.0.0.253,185.0.0.253,"(1, ['89.44.208.118'], 8)",[14.336],False,x,x
192.168.100.217,185.0.0.253,185.0.0.253,"(2, ['83.166.222.126'], 9)",[2.539],False,x,x
192.168.2.104,185.0.0.253,185.0.0.253,"(-1, [], 11)",[4.498666666666668],False,x,x
192.168.3.102,185.0.0.253,185.0.0.253,"(-1, [], 10)",[],False,x,x
10.2.2.20,185.0.0.253,185.0.0.253,"(-1, [], 9)",[0.44799999999999995],False,x,x
192.168.69.254,185.0.0.253,185.0.0.253,"(-1, [], 9)",[0.5483333333333333],False,x,x
10.222.192.125,185.0.0.253,185.0.0.253,"(-1, [], 13)",[0.43566666666666665],False,x,x
192.168.0.4,185.0.0.253,185.0.0.253,"(-1, [], 9)",[0.5226666666666667],False,x,x
192.168.68.71,185.0.0.253,185.0.0.253,"(-1, [], 10)",[0.8123333333333335],False,x,x
194.42.102.9,185.0.0.253,185.0.0.253,"(1, ['62.115.62.249'], 2)",[1.055],False,x,x
192.168.0.55,185.0.0.253,185.0.0.253,"(1, ['185.132.173.65'], 10)",[0.9816666666666666],False,x,x
192.168.24.187,185.0.0.253,185.0.0.253,"(-1, [], 10)",[0.9596666666666666],False,x,x
10.1.0.34,185.0.0.253,185.0.0.253,"(-1, [], 9)",[0.4563333333333333],False,x,x
192.168.1.12,185.0.0.253,185.0.0.253,"(-1, [], 3)",[1.0036666666666665],True,x,x
192.168.1.158,185.0.0.253,185.0.0.253,"(-1, [], 10)",[4.360333333333333],False,x,x
176.52.185.126,185.0.0.253,185.0.0.253,"(6, ['136.255.248.202'], 13)",[11.438666666666668],False,x,x
192.168.253.191,185.0.0.253,185.0.0.253,"(2, ['89.40.196.49'], 9)",[1.6823333333333332],False,x,x
192.168.100.5,185.0.0.253,185.0.0.253,"(5, ['37.128.239.145'], 12)",[3.3203333333333336],False,x,x
192.168.0.192,185.0.0.253,185.0.0.253,"(1, ['78.96.208.1'], 8)",[12.105333333333334],False,x,x
10.10.0.9,185.0.0.253,185.0.0.253,"(-1, [], 3)",[1.3596666666666666],True,x,x
192.168.88.11,185.0.0.253,185.0.0.253,"(-1, [], 10)",[1.3150000000000002],False,x,x
10.24.17.70,185.0.0.253,185.0.0.253,"(-1, [], 9)",[0.8693333333333334],False,x,x
85.120.244.46,185.0.0.253,185.0.0.253,"(0, ['85.120.244.1'], 4)",[1.1813333333333333],True,x,x
10.134.151.150,185.0.0.253,185.0.0.253,"(-1, [], 9)",[1.1686666666666665],False,x,x
185.214.104.93,185.0.0.253,185.0.0.253,"(0, ['185.214.104.89'], 7)",[1.3246666666666667],False,x,x
44.128.12.240,185.0.0.253,185.0.0.253,"(0, ['44.128.12.254'], 9)",[2.2583333333333333],False,x,x
192.168.130.50,185.0.0.253,185.0.0.253,"(-1, [], 9)",[1.2790000000000001],False,x,x
192.168.0.171,185.0.0.253,185.0.0.253,"(7, ['136.255.248.202'], 14)",[23.102],False,x,x
192.168.1.126,185.0.0.253,185.0.0.253,"(-1, [], 10)",[1.1263333333333334],False,x,x
185.173.16.70,185.0.0.253,185.0.0.253,"(0, ['185.173.16.65'], 7)",[2.1863333333333332],False,x,x
172.31.36.10,185.0.0.253,185.0.0.253,"(5, ['136.255.248.204'], 12)",[7.009333333333333],False,x,x
192.168.1.246,185.0.0.253,185.0.0.253,"(-1, [], 10)",[1.162],False,x,x
192.168.1.146,185.0.0.253,185.0.0.253,"(1, ['109.102.24.129'], 12)",[2.953],False,x,x
100.99.99.252,185.0.0.253,185.0.0.253,"(2, ['92.80.245.109'], 13)",[2.1846666666666668],False,x,x
192.168.0.33,185.0.0.253,185.0.0.253,"(5, ['91.186.184.37'], 6)",[6.877],False,x,x
192.168.192.38,185.0.0.253,185.0.0.253,"(2, ['136.255.75.1'], 9)",[1.5396666666666665],False,x,x
192.168.0.184,185.0.0.253,185.0.0.253,"(-1, [], 9)",[1.0226666666666666],False,x,x
192.168.0.197,185.0.0.253,185.0.0.253,"(-1, [], 9)",[2.196333333333333],False,x,x
194.9.92.4,185.0.0.253,185.0.0.253,"(1, ['62.115.62.249'], 2)",[1.576],False,x,x
10.10.10.54,185.0.0.253,185.0.0.253,"(1, ['89.34.110.1'], 8)",[3.9026666666666667],False,x,x
185.173.16.151,185.0.0.253,185.0.0.253,"(0, ['185.173.16.130'], 7)",[0.8929999999999999],False,x,x
93.113.126.132,185.0.0.253,185.0.0.253,"(0, ['93.113.126.129'], 3)",[1.5293333333333334],False,x,x
185.86.67.69,185.0.0.253,185.0.0.253,"(3, ['91.186.184.33'], 4)",[0.965],False,x,x
91.220.63.87,185.0.0.253,185.0.0.253,"(1, ['89.238.233.57'], 8)",[0.7856666666666666],False,x,x
86.107.73.26,185.0.0.253,185.0.0.253,"(0, ['86.107.73.2'], 3)",[1.111],False,x,x
