Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
172.20.11.11,192.108.148.31,192.108.148.31,"(4, ['62.168.99.61'], 10)",[9.412],True,x,x
78.141.76.187,192.108.148.31,192.108.148.31,"(2, ['213.151.196.2'], 9)",[2.5086666666666666],False,x,x
10.0.109.52,192.108.148.31,192.108.148.31,"(4, ['88.212.0.58'], 10)",[8.376333333333333],True,x,x
82.119.102.146,192.108.148.31,192.108.148.31,"(2, ['217.23.241.62'], 3)",[9.517],False,x,x
192.168.100.2,192.108.148.31,192.108.148.31,"(4, ['213.151.198.94'], 11)",[10.107999999999999],False,x,x
45.95.11.135,192.108.148.31,192.108.148.31,"(5, ['185.176.72.114'], 12)",[8.598666666666666],False,x,x
192.168.100.18,192.108.148.31,192.108.148.31,"(7, ['185.0.20.102'], 14)",[14.536999999999999],False,x,x
176.116.104.49,192.108.148.31,192.108.148.31,"(8, ['185.171.141.40'], 15)",[11.567],False,x,x
172.18.0.2,192.108.148.31,192.108.148.31,"(2, ['213.81.232.198'], 10)",[4.253666666666667],False,x,x
172.17.0.2,192.108.148.31,192.108.148.31,"(4, ['194.160.8.2'], 13)",[7.409666666666666],False,x,x
10.10.66.17,192.108.148.31,192.108.148.31,"(1, ['213.81.232.193'], 9)",[2.655],True,x,x
192.108.131.3,192.108.148.31,192.108.148.31,"(1, ['194.160.8.2'], 6)",[5.555666666666667],True,x,x
192.168.2.5,192.108.148.31,192.108.148.31,"(5, ['88.212.0.58'], 12)",[8.191333333333334],False,x,x
192.168.0.67,192.108.148.31,192.108.148.31,"(-1, [], 10)",[0.48333333333333334],False,x,x
80.87.217.250,192.108.148.31,192.108.148.31,"(3, ['80.87.211.8'], 10)",[7.460000000000001],False,x,x
80.87.217.242,192.108.148.31,192.108.148.31,"(5, ['80.87.211.8'], 12)",[6.701999999999999],False,x,x
80.242.36.134,192.108.148.31,192.108.148.31,"(6, ['87.244.238.78'], 10)",[6.46],True,x,x
10.1.1.182,192.108.148.31,192.108.148.31,"(3, ['62.168.99.65'], 10)",[8.655],False,x,x
10.12.99.253,192.108.148.31,192.108.148.31,"(8, ['87.244.236.30'], 13)",[3.087],True,x,x
31.170.64.141,192.108.148.31,192.108.148.31,"(3, ['87.244.238.78'], 10)",[4.6290000000000004],False,x,x
10.1.30.13,192.108.148.31,192.108.148.31,"(8, ['195.80.185.236'], 10)",[4.78],True,x,x
10.0.12.188,192.108.148.31,192.108.148.31,"(2, ['213.81.232.193'], 10)",[2.4723333333333333],False,x,x
192.168.1.66,192.108.148.31,192.108.148.31,"(6, ['213.151.198.94'], 9)",[10.610333333333333],True,x,x
10.129.8.128,192.108.148.31,192.108.148.31,"(2, ['212.89.227.4'], 7)",[0.6886666666666668],True,x,x
172.30.19.220,192.108.148.31,192.108.148.31,"(1, ['185.69.107.1'], 9)",[0.47500000000000003],True,x,x
192.168.3.3,192.108.148.31,192.108.148.31,"(6, ['195.80.185.224'], 10)",[8.085333333333333],True,x,x
192.168.1.223,192.108.148.31,192.108.148.31,"(1, ['213.81.233.157'], 5)",[2.5846666666666667],True,x,x
192.168.100.51,192.108.148.31,192.108.148.31,"(4, ['213.151.198.94'], 11)",[10.680333333333332],False,x,x
192.168.3.254,192.108.148.31,192.108.148.31,"(4, ['62.168.99.65'], 11)",[6.401666666666666],False,x,x
172.22.16.160,192.108.148.31,192.108.148.31,"(11, ['87.244.236.30'], 18)",[6.697333333333333],False,x,x
192.168.0.15,192.108.148.31,192.108.148.31,"(5, ['62.115.45.30'], 6)",[7.6434999999999995],False,x,x
10.0.1.22,192.108.148.31,192.108.148.31,"(4, ['195.80.185.234'], 6)",[5.793333333333334],True,x,x
192.168.1.22,192.108.148.31,192.108.148.31,"(1, ['213.81.232.193'], 6)",[2.897],True,x,x
192.168.0.153,192.108.148.31,192.108.148.31,"(4, ['213.151.198.26'], 11)",[9.508333333333333],False,x,x
192.168.1.254,192.108.148.31,192.108.148.31,"(1, ['213.81.232.193'], 9)",[2.663],False,x,x
192.168.30.110,192.108.148.31,192.108.148.31,"(1, ['92.60.50.253'], 9)",[1.5803333333333331],False,x,x
192.168.2.127,192.108.148.31,192.108.148.31,"(3, ['213.151.193.65'], 10)",[4.657666666666667],False,x,x
212.5.219.226,192.108.148.31,192.108.148.31,"(0, ['212.5.219.225'], 4)",[1.3626666666666667],True,x,x
10.1.0.12,192.108.148.31,192.108.148.31,"(2, ['213.81.232.250'], 10)",[3.5803333333333334],False,x,x
192.168.2.27,192.108.148.31,192.108.148.31,"(2, ['213.81.232.198'], 10)",[4.088],False,x,x
192.168.5.253,192.108.148.31,192.108.148.31,"(3, ['62.168.99.65'], 9)",[6.532],True,x,x
10.240.0.230,192.108.148.31,192.108.148.31,"(5, ['88.212.0.58'], 10)",[8.823333333333332],True,x,x
91.221.4.240,192.108.148.31,192.108.148.31,"(3, ['185.171.141.61'], 10)",[5.020666666666667],False,x,x
192.168.1.26,192.108.148.31,192.108.148.31,"(1, ['213.81.232.198'], 9)",[4.125333333333333],True,x,x
