Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
10.0.1.4,15.197.180.139,15.197.180.139,"(-1, [], 6)",[],False,x,x
192.168.0.4,15.197.180.139,15.197.180.139,"(3, ['67.14.41.158'], 10)",[34.828333333333326],False,x,x
192.168.1.160,15.197.180.139,15.197.180.139,"(13, ['54.240.242.34'], 20)",[28.162666666666667],False,x,x
192.168.1.102,15.197.180.139,15.197.180.139,"(10, ['52.95.52.26'], 17)",[28.740333333333336],False,x,x
192.168.73.235,15.197.180.139,15.197.180.139,"(10, ['52.95.54.211'], 17)",[40.359],False,x,x
192.168.1.20,15.197.180.139,15.197.180.139,"(6, ['198.32.195.102'], 13)",[3.5716666666666668],False,x,x
