Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
185.248.199.254,185.1.179.3,185.1.179.3,"(1, ['185.120.147.41'], 8)",[24.313],False,x,x
10.81.80.5,185.1.179.3,185.1.179.3,"(-1, [], 11)",[1.1929999999999998],False,x,x
10.10.10.53,185.1.179.3,185.1.179.3,"(2, ['78.97.196.1'], 9)",[10.128333333333332],False,x,x
86.125.46.138,185.1.179.3,185.1.179.3,"(-1, [], 9)",[1.2770000000000001],False,x,x
172.31.0.101,185.1.179.3,185.1.179.3,"(-1, [], 6)",[],False,x,x
194.5.208.41,185.1.179.3,185.1.179.3,"(1, ['86.127.160.165'], 8)",[0.5499999999999999],False,x,x
188.241.118.205,185.1.179.3,185.1.179.3,"(2, ['62.133.45.209'], 9)",[0.8286666666666666],False,x,x
89.40.214.132,185.1.179.3,185.1.179.3,"(0, ['86.105.155.193'], 8)",[1.454],False,x,x
192.168.100.24,185.1.179.3,185.1.179.3,"(-1, [], 9)",[0.8803333333333333],False,x,x
93.114.194.226,185.1.179.3,185.1.179.3,"(2, ['193.251.252.199'], 3)",[1.6734999999999998],False,x,x
172.27.0.2,185.1.179.3,185.1.179.3,"(-1, [], 11)",[0.08900000000000001],False,x,x
10.0.11.178,185.1.179.3,185.1.179.3,"(1, ['185.150.18.1'], 9)",[0.5840000000000001],False,x,x
45.134.48.142,185.1.179.3,185.1.179.3,"(3, ['109.101.126.177'], 13)",[0.7573333333333333],False,x,x
172.31.0.248,185.1.179.3,185.1.179.3,"(-1, [], 6)",[],False,x,x
185.173.16.150,185.1.179.3,185.1.179.3,"(0, ['185.173.16.130'], 7)",[0.651],False,x,x
192.168.168.107,185.1.179.3,185.1.179.3,"(1, ['46.214.145.1', '46.214.145.129'], 13)","[3.434, 3.564]",False,x,x
192.168.100.120,185.1.179.3,185.1.179.3,"(-1, [], 10)",[0.5443333333333333],False,x,x
89.33.97.218,185.1.179.3,185.1.179.3,"(0, ['89.33.97.217'], 7)",[0.42733333333333334],False,x,x
37.128.230.22,185.1.179.3,185.1.179.3,"(2, ['37.128.239.145'], 9)",[5.917333333333333],False,x,x
10.1.0.99,185.1.179.3,185.1.179.3,"(3, ['78.96.208.1'], 10)",[10.369666666666667],False,x,x
193.168.186.235,185.1.179.3,185.1.179.3,"(3, ['62.115.62.249'], 4)",[1.3045],False,x,x
192.168.1.235,185.1.179.3,185.1.179.3,"(4, ['81.22.150.2'], 15)",[2.8143333333333334],False,x,x
172.20.99.250,185.1.179.3,185.1.179.3,"(4, ['37.128.239.145'], 11)",[8.585],False,x,x
192.168.1.100,185.1.179.3,185.1.179.3,"(3, ['37.128.239.121'], 10)",[9.229333333333333],False,x,x
10.138.30.40,185.1.179.3,185.1.179.3,"(-1, [], 9)",[0.4526666666666667],False,x,x
172.16.0.100,185.1.179.3,185.1.179.3,"(5, ['149.6.51.73'], 6)",[2.149],False,x,x
192.168.1.57,185.1.179.3,185.1.179.3,"(-1, [], 9)",[0.615],False,x,x
192.168.100.67,185.1.179.3,185.1.179.3,"(-1, [], 9)",[4.925],False,x,x
10.1.5.212,185.1.179.3,185.1.179.3,"(3, ['62.121.99.1'], 10)",[10.156333333333334],False,x,x
192.168.0.115,185.1.179.3,185.1.179.3,"(1, ['89.44.208.118'], 8)",[14.711],False,x,x
192.168.100.217,185.1.179.3,185.1.179.3,"(2, ['83.166.222.126'], 9)",[3.0140000000000007],False,x,x
192.168.2.104,185.1.179.3,185.1.179.3,"(-1, [], 11)",[5.739999999999999],False,x,x
192.168.3.102,185.1.179.3,185.1.179.3,"(8, ['193.0.14.129'], 9)",[30.848333333333333],False,x,x
10.2.2.20,185.1.179.3,185.1.179.3,"(-1, [], 12)",[0.40700000000000003],False,x,x
192.168.69.254,185.1.179.3,185.1.179.3,"(-1, [], 9)",[0.7626666666666666],False,x,x
10.222.192.125,185.1.179.3,185.1.179.3,"(-1, [], 10)",[0.4696666666666667],False,x,x
192.168.0.4,185.1.179.3,185.1.179.3,"(-1, [], 9)",[0.6836666666666668],False,x,x
192.168.68.71,185.1.179.3,185.1.179.3,"(-1, [], 10)",[0.7423333333333334],False,x,x
194.42.102.9,185.1.179.3,185.1.179.3,"(1, ['62.115.62.249'], 2)",[1.0699999999999998],False,x,x
192.168.0.55,185.1.179.3,185.1.179.3,"(1, ['185.132.173.65'], 10)",[1.0056666666666667],False,x,x
192.168.24.187,185.1.179.3,185.1.179.3,"(-1, [], 10)",[1.4003333333333334],False,x,x
10.1.0.34,185.1.179.3,185.1.179.3,"(-1, [], 9)",[0.457],False,x,x
192.168.1.12,185.1.179.3,185.1.179.3,"(-1, [], 8)",[0.7993333333333332],False,x,x
192.168.1.158,185.1.179.3,185.1.179.3,"(-1, [], 10)",[4.697333333333333],False,x,x
176.52.185.126,185.1.179.3,185.1.179.3,"(6, ['136.255.248.202'], 13)",[11.236666666666666],False,x,x
192.168.253.191,185.1.179.3,185.1.179.3,"(2, ['89.40.196.49'], 9)",[1.418],False,x,x
192.168.100.5,185.1.179.3,185.1.179.3,"(5, ['37.128.239.145'], 12)",[4.3790000000000004],False,x,x
192.168.0.192,185.1.179.3,185.1.179.3,"(2, ['78.96.208.1'], 9)",[11.612666666666668],False,x,x
10.10.0.9,185.1.179.3,185.1.179.3,"(-1, [], 15)",[1.108],False,x,x
192.168.88.11,185.1.179.3,185.1.179.3,"(-1, [], 10)",[0.9293333333333335],False,x,x
10.24.17.70,185.1.179.3,185.1.179.3,"(-1, [], 9)",[0.9543333333333334],False,x,x
85.120.244.46,185.1.179.3,185.1.179.3,"(0, ['85.120.244.1'], 8)",[1.105],False,x,x
10.134.151.150,185.1.179.3,185.1.179.3,"(-1, [], 9)",[1.0839999999999999],False,x,x
185.214.104.93,185.1.179.3,185.1.179.3,"(1, ['89.37.126.137'], 8)",[682.7196666666667],False,x,x
44.128.12.240,185.1.179.3,185.1.179.3,"(0, ['44.128.12.254'], 9)",[0.9816666666666666],False,x,x
192.168.130.50,185.1.179.3,185.1.179.3,"(-1, [], 9)",[1.4863333333333333],False,x,x
192.168.0.171,185.1.179.3,185.1.179.3,"(7, ['136.255.248.202'], 14)",[21.022333333333336],False,x,x
192.168.1.126,185.1.179.3,185.1.179.3,"(-1, [], 10)",[1.0889999999999997],False,x,x
185.173.16.70,185.1.179.3,185.1.179.3,"(0, ['185.173.16.65'], 7)",[1.0713333333333332],False,x,x
172.31.36.10,185.1.179.3,185.1.179.3,"(5, ['136.255.248.204'], 12)",[7.193666666666666],False,x,x
192.168.1.246,185.1.179.3,185.1.179.3,"(-1, [], 10)",[0.854],False,x,x
192.168.1.146,185.1.179.3,185.1.179.3,"(1, ['109.102.24.129'], 12)",[2.8669999999999995],False,x,x
100.99.99.252,185.1.179.3,185.1.179.3,"(7, ['62.115.156.162'], 8)",[75.913],False,x,x
192.168.0.33,185.1.179.3,185.1.179.3,"(5, ['91.186.184.37'], 6)",[6.846666666666667],False,x,x
192.168.192.38,185.1.179.3,185.1.179.3,"(2, ['136.255.75.1'], 9)",[1.2046666666666666],False,x,x
192.168.0.184,185.1.179.3,185.1.179.3,"(-1, [], 9)",[0.8490000000000001],False,x,x
192.168.0.197,185.1.179.3,185.1.179.3,"(-1, [], 9)",[0.9979999999999999],False,x,x
194.9.92.4,185.1.179.3,185.1.179.3,"(1, ['62.115.62.249'], 2)",[1.4355],False,x,x
10.10.10.54,185.1.179.3,185.1.179.3,"(12, ['193.0.14.129'], 13)",[38.228],False,x,x
185.173.16.151,185.1.179.3,185.1.179.3,"(0, ['185.173.16.130'], 7)",[4.25],False,x,x
93.113.126.132,185.1.179.3,185.1.179.3,"(0, ['93.113.126.129'], 3)",[1.2693333333333334],False,x,x
185.86.67.69,185.1.179.3,185.1.179.3,"(3, ['91.186.184.33'], 4)",[0.9556666666666667],False,x,x
91.220.63.87,185.1.179.3,185.1.179.3,"(1, ['89.238.233.57'], 8)",[0.8273333333333334],False,x,x
86.107.73.26,185.1.179.3,185.1.179.3,"(0, ['86.107.73.2'], 3)",[0.7146666666666667],False,x,x
