Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
172.18.0.2,194.30.187.211,194.30.187.211,"(2, ['213.81.232.198'], 5)",[4.484],True,x,x
10.0.12.188,194.30.187.211,194.30.187.211,"(2, ['213.81.232.193'], 5)",[2.5796666666666668],True,x,x
192.168.0.15,194.30.187.211,194.30.187.211,"(3, ['85.159.105.209'], 6)",[4.186333333333334],True,x,x
172.20.11.11,194.30.187.211,194.30.187.211,"(4, ['62.168.99.61'], 11)",[11.378333333333336],False,x,x
78.141.76.187,194.30.187.211,194.30.187.211,"(2, ['213.151.196.2'], 4)",[2.4883333333333333],True,x,x
10.0.109.52,194.30.187.211,194.30.187.211,"(4, ['88.212.0.58'], 6)",[8.150999999999998],True,x,x
82.119.102.146,194.30.187.211,194.30.187.211,"(2, ['217.23.241.62'], 3)",[8.6215],False,x,x
192.168.100.2,194.30.187.211,194.30.187.211,"(4, ['213.151.198.94'], 6)",[10.062666666666667],True,x,x
45.95.11.135,194.30.187.211,194.30.187.211,"(5, ['185.176.72.114'], 7)",[1.6586666666666667],True,x,x
192.168.100.18,194.30.187.211,194.30.187.211,"(2, ['213.151.193.65'], 4)",[4.862666666666667],True,x,x
176.116.104.49,194.30.187.211,194.30.187.211,"(8, ['185.171.141.40'], 10)",[11.421333333333331],True,x,x
172.17.0.2,194.30.187.211,194.30.187.211,"(5, ['62.168.110.65'], 12)",[6.209666666666666],False,x,x
10.10.66.17,194.30.187.211,194.30.187.211,"(1, ['213.81.232.193'], 4)",[2.682],True,x,x
192.108.131.3,194.30.187.211,194.30.187.211,"(2, ['62.168.110.65'], 9)",[5.293666666666667],False,x,x
192.168.2.5,194.30.187.211,194.30.187.211,"(5, ['88.212.0.58'], 7)",[8.175666666666666],True,x,x
192.168.0.67,194.30.187.211,194.30.187.211,"(-1, [], 5)",[0.4673333333333333],True,x,x
80.87.217.250,194.30.187.211,194.30.187.211,"(2, ['80.87.211.16'], 9)",[7.169666666666667],False,x,x
80.87.217.242,194.30.187.211,194.30.187.211,"(4, ['80.87.211.16'], 11)",[6.621666666666667],False,x,x
80.242.36.134,194.30.187.211,194.30.187.211,"(6, ['87.244.238.78'], 8)",[9.406],True,x,x
10.1.1.182,194.30.187.211,194.30.187.211,"(3, ['62.168.99.65'], 10)",[5.758333333333333],False,x,x
10.12.99.253,194.30.187.211,194.30.187.211,"(8, ['87.244.236.30'], 15)",[3.1176666666666666],False,x,x
31.170.64.141,194.30.187.211,194.30.187.211,"(3, ['87.244.238.78'], 5)",[6.717333333333333],True,x,x
10.1.30.13,194.30.187.211,194.30.187.211,"(8, ['195.80.185.236'], 10)",[4.445],True,x,x
192.168.1.66,194.30.187.211,194.30.187.211,"(6, ['213.151.198.94'], 8)",[10.696333333333333],True,x,x
10.129.8.128,194.30.187.211,194.30.187.211,"(3, ['212.89.224.234'], 5)",[0.7656666666666667],True,x,x
172.30.19.220,194.30.187.211,194.30.187.211,"(6, ['84.47.111.149'], 9)",[3.234],True,x,x
192.168.3.3,194.30.187.211,194.30.187.211,"(6, ['195.80.185.224'], 8)",[7.786333333333332],True,x,x
192.168.1.26,194.30.187.211,194.30.187.211,"(1, ['213.81.232.198'], 4)",[4.398000000000001],True,x,x
192.168.1.223,194.30.187.211,194.30.187.211,"(1, ['213.81.233.157'], 4)",[2.5933333333333333],True,x,x
192.168.100.51,194.30.187.211,194.30.187.211,"(4, ['213.151.198.94'], 6)",[10.758000000000001],True,x,x
192.168.3.254,194.30.187.211,194.30.187.211,"(4, ['62.168.99.65'], 11)",[6.402333333333334],False,x,x
172.22.16.160,194.30.187.211,194.30.187.211,"(11, ['87.244.236.30'], 18)",[7.026333333333333],False,x,x
10.0.1.22,194.30.187.211,194.30.187.211,"(4, ['195.80.185.234'], 6)",[5.2410000000000005],True,x,x
192.168.1.22,194.30.187.211,194.30.187.211,"(1, ['213.81.232.193'], 4)",[3.079333333333333],True,x,x
192.168.0.153,194.30.187.211,194.30.187.211,"(4, ['213.151.198.26'], 6)",[9.502666666666666],True,x,x
192.168.1.254,194.30.187.211,194.30.187.211,"(1, ['213.81.232.193'], 4)",[2.7600000000000002],True,x,x
192.168.30.110,194.30.187.211,194.30.187.211,"(1, ['92.60.50.253'], 8)",[1.811333333333333],False,x,x
192.168.2.127,194.30.187.211,194.30.187.211,"(3, ['213.151.193.65'], 5)",[4.742999999999999],True,x,x
212.5.219.226,194.30.187.211,194.30.187.211,"(0, ['212.5.219.225'], 3)",[1.4176666666666666],True,x,x
10.1.0.12,194.30.187.211,194.30.187.211,"(2, ['213.81.232.250'], 5)",[3.644666666666667],True,x,x
192.168.2.27,194.30.187.211,194.30.187.211,"(2, ['213.81.232.198'], 5)",[4.013333333333333],True,x,x
192.168.5.253,194.30.187.211,194.30.187.211,"(3, ['62.168.99.65'], 10)",[5.914333333333334],False,x,x
10.240.0.230,194.30.187.211,194.30.187.211,"(5, ['88.212.0.58'], 7)",[9.976],True,x,x
91.221.4.240,194.30.187.211,194.30.187.211,"(3, ['185.171.141.61'], 10)",[4.666333333333334],False,x,x
