Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
172.20.11.11,192.108.148.215,192.108.148.215,"(4, ['62.168.99.61'], 7)",[9.670333333333334],True,x,x
78.141.76.187,192.108.148.215,192.108.148.215,"(2, ['213.151.196.2'], 4)",[2.457666666666667],True,x,x
10.0.109.52,192.108.148.215,192.108.148.215,"(4, ['88.212.0.58'], 6)",[7.925999999999999],True,x,x
82.119.102.146,192.108.148.215,192.108.148.215,"(2, ['217.23.241.62'], 3)",[14.034],False,x,x
192.168.100.2,192.108.148.215,192.108.148.215,"(4, ['213.151.198.94'], 6)",[10.294000000000002],True,x,x
45.95.11.135,192.108.148.215,192.108.148.215,"(5, ['185.176.72.72'], 7)",[1.342666666666667],True,x,x
192.168.100.18,192.108.148.215,192.108.148.215,"(2, ['213.151.193.65'], 4)",[4.872],True,x,x
176.116.104.49,192.108.148.215,192.108.148.215,"(8, ['185.171.141.40'], 10)",[11.649999999999999],True,x,x
172.18.0.2,192.108.148.215,192.108.148.215,"(2, ['213.81.232.198'], 5)",[4.416333333333333],True,x,x
172.17.0.2,192.108.148.215,192.108.148.215,"(4, ['194.160.8.2'], 6)",[6.168666666666667],True,x,x
10.10.66.17,192.108.148.215,192.108.148.215,"(1, ['213.81.232.193'], 4)",[2.421],True,x,x
192.108.131.3,192.108.148.215,192.108.148.215,"(1, ['194.160.8.2'], 3)",[6.354333333333333],True,x,x
192.168.2.5,192.108.148.215,192.108.148.215,"(5, ['88.212.0.58'], 7)",[8.425666666666666],True,x,x
192.168.0.67,192.108.148.215,192.108.148.215,"(-1, [], 5)",[0.4563333333333334],True,x,x
80.87.217.250,192.108.148.215,192.108.148.215,"(3, ['80.87.211.8'], 5)",[7.536333333333334],True,x,x
80.87.217.242,192.108.148.215,192.108.148.215,"(5, ['80.87.211.8'], 7)",[6.858666666666667],True,x,x
80.242.36.134,192.108.148.215,192.108.148.215,"(6, ['87.244.238.78'], 8)",[7.8309999999999995],True,x,x
10.1.1.182,192.108.148.215,192.108.148.215,"(3, ['62.168.99.65'], 6)",[6.477999999999999],True,x,x
10.12.99.253,192.108.148.215,192.108.148.215,"(8, ['87.244.236.30'], 10)",[3.201],True,x,x
31.170.64.141,192.108.148.215,192.108.148.215,"(3, ['87.244.238.78'], 5)",[4.626333333333333],True,x,x
10.1.30.13,192.108.148.215,192.108.148.215,"(8, ['195.80.185.236'], 10)",[4.835],True,x,x
10.0.12.188,192.108.148.215,192.108.148.215,"(2, ['213.81.232.193'], 5)",[2.4806666666666666],True,x,x
192.168.1.66,192.108.148.215,192.108.148.215,"(6, ['213.151.198.94'], 8)",[10.829333333333333],True,x,x
10.129.8.128,192.108.148.215,192.108.148.215,"(2, ['212.89.227.4'], 4)",[0.6629999999999999],True,x,x
172.30.19.220,192.108.148.215,192.108.148.215,"(1, ['185.69.107.1'], 8)",[0.4053333333333334],True,x,x
192.168.3.3,192.108.148.215,192.108.148.215,"(6, ['195.80.185.224'], 8)",[8.898333333333333],True,x,x
192.168.1.26,192.108.148.215,192.108.148.215,"(1, ['213.81.232.198'], 4)",[4.692333333333333],True,x,x
192.168.1.223,192.108.148.215,192.108.148.215,"(1, ['213.81.233.157'], 4)",[2.6273333333333335],True,x,x
192.168.100.51,192.108.148.215,192.108.148.215,"(4, ['213.151.198.94'], 6)",[10.754333333333333],True,x,x
192.168.3.254,192.108.148.215,192.108.148.215,"(4, ['62.168.99.65'], 7)",[6.345666666666666],True,x,x
172.22.16.160,192.108.148.215,192.108.148.215,"(11, ['87.244.236.30'], 13)",[6.563666666666666],True,x,x
192.168.0.15,192.108.148.215,192.108.148.215,"(5, ['62.115.45.30'], 6)",[7.707],False,x,x
10.0.1.22,192.108.148.215,192.108.148.215,"(4, ['195.80.185.234'], 6)",[5.390666666666667],True,x,x
192.168.1.22,192.108.148.215,192.108.148.215,"(1, ['213.81.232.193'], 4)",[2.932],True,x,x
192.168.0.153,192.108.148.215,192.108.148.215,"(4, ['213.151.198.26'], 6)",[9.647333333333334],True,x,x
192.168.1.254,192.108.148.215,192.108.148.215,"(1, ['213.81.232.193'], 4)",[2.9659999999999997],True,x,x
192.168.30.110,192.108.148.215,192.108.148.215,"(1, ['92.60.50.253'], 4)",[1.578],True,x,x
192.168.2.127,192.108.148.215,192.108.148.215,"(3, ['213.151.193.65'], 5)",[4.673666666666667],True,x,x
212.5.219.226,192.108.148.215,192.108.148.215,"(0, ['212.5.219.225'], 3)",[1.4213333333333333],True,x,x
10.1.0.12,192.108.148.215,192.108.148.215,"(2, ['213.81.232.250'], 5)",[3.5856666666666666],True,x,x
192.168.2.27,192.108.148.215,192.108.148.215,"(2, ['213.81.232.198'], 5)",[4.084],True,x,x
192.168.5.253,192.108.148.215,192.108.148.215,"(3, ['62.168.99.65'], 6)",[5.502666666666666],True,x,x
10.240.0.230,192.108.148.215,192.108.148.215,"(5, ['88.212.0.58'], 7)",[8.354333333333335],True,x,x
91.221.4.240,192.108.148.215,192.108.148.215,"(3, ['185.171.141.61'], 5)",[5.114333333333334],True,x,x
